Image,Type,Complexity,Causes
566.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
567.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
568.png,diagonal,1.0,"Join Issues, Moisture"
569.png,meandering,2.0,"Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Moisture"
570.png,block,6.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen, Moisture"
571.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
572.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
573.png,block,9.0,"Join Issues, Inadequate Slab Thickness, Moisture, Tree Roots, Aged/Hardened Bitumen"
574.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
575.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
576.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
577.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Moisture, Aged/Hardened Bitumen"
578.png,meandering,3.0,"Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Moisture"
579.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
580.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
581.png,meandering,2.0,"Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Moisture"
582.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
583.png,crescent,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
584.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
585.png,longitudinal,1.0,Join Issues
586.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Wearing Course Issues, Moisture"
587.png,transverse,1.0,"Join Issues, Underlying Settlement, Aged/Hardened Bitumen, Moisture, Inadequate Slab Thickness"
588.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
589.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
590.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
591.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
592.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
593.png,diagonal,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Moisture, Aged/Hardened Bitumen"
594.png,crescent,2.0,"Wearing Course Issues, Moisture"
595.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Moisture, Aged/Hardened Bitumen"
596.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Moisture, Aged/Hardened Bitumen"
597.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
598.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
599.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
600.png,transverse,1.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
601.png,crescent,4.0,"Wearing Course Issues, Moisture"
602.png,transverse,7.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Moisture, Aged/Hardened Bitumen"
603.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Moisture, Aged/Hardened Bitumen"
604.png,transverse,11.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Wearing Course Issues, Moisture"
605.png,meandering,10.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
606.png,block,10.0,"Join Issues, Inadequate Slab Thickness, Wearing Course Issues, Moisture"
607.png,meandering,8.0,"Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Moisture"
608.png,block,9.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
609.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
610.png,meandering,14.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots, Wearing Course Issues"
611.png,crocodile,3.0,"Moisture, Wearing Course Issues, Aged/Hardened Bitumen"
612.png,meandering,13.0,"Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Moisture"
613.png,longitudinal,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Tree Roots"
614.png,meandering,5.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
615.png,meandering,7.0,"Underlying Settlement, Inadequate Slab Thickness, Join Issues, Wearing Course Issues"
616.png,meandering,2.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
617.png,meandering,5.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Wearing Course Issues"
618.png,longitudinal,8.0,Join Issues
619.png,longitudinal,4.0,Join Issues
620.png,meandering,16.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
621.png,meandering,10.0,"Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Moisture"
622.png,longitudinal,7.0,Join Issues
623.png,longitudinal,19.0,Join Issues
624.png,diagonal,9.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Tree Roots, Aged/Hardened Bitumen"
625.png,longitudinal,2.0,Join Issues
626.png,longitudinal,16.0,Join Issues
627.png,longitudinal,8.0,Join Issues
628.png,meandering,8.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
629.png,crocodile,8.0,"Moisture, Wearing Course Issues, Aged/Hardened Bitumen"
630.png,crocodile,7.0,"Moisture, Wearing Course Issues, Aged/Hardened Bitumen"
631.png,crocodile,3.0,"Moisture, Wearing Course Issues, Aged/Hardened Bitumen"
632.png,longitudinal,9.0,"Join Issues, Wearing Course Issues"
633.png,crocodile,4.0,"Moisture, Wearing Course Issues, Aged/Hardened Bitumen"
634.png,longitudinal,3.0,"Join Issues, Moisture"
635.png,longitudinal,6.0,Join Issues
636.png,longitudinal,4.0,Join Issues
637.png,longitudinal,6.0,Join Issues
638.png,longitudinal,4.0,Join Issues
639.png,longitudinal,9.0,Join Issues
640.png,longitudinal,12.0,"Join Issues, Wearing Course Issues"
641.png,transverse,7.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots, Wearing Course Issues"
642.png,meandering,5.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
643.png,transverse,4.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
644.png,meandering,5.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
645.png,longitudinal,6.0,Join Issues
646.png,transverse,5.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
647.png,transverse,4.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
648.png,meandering,7.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
649.png,meandering,9.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
650.png,meandering,6.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
651.png,transverse,10.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
652.png,block,7.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
653.png,block,5.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
654.png,meandering,10.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
655.png,meandering,5.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
656.png,meandering,6.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
657.png,meandering,3.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
658.png,diagonal,5.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Tree Roots"
659.png,crescent,4.0,Wearing Course Issues
660.png,meandering,5.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
661.png,meandering,6.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
662.png,meandering,11.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
663.png,crescent,8.0,Wearing Course Issues
664.png,meandering,5.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
665.png,meandering,11.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
666.png,longitudinal,7.0,Join Issues
667.png,transverse,5.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
668.png,meandering,7.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
669.png,diagonal,5.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Tree Roots"
670.png,meandering,10.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
671.png,meandering,8.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
672.png,meandering,3.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
673.png,meandering,3.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
674.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
675.png,longitudinal,5.0,Join Issues
676.png,meandering,14.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
677.png,meandering,6.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
678.png,crescent,6.0,Wearing Course Issues
679.png,longitudinal,10.0,Join Issues
680.png,crescent,14.0,Wearing Course Issues
681.png,meandering,8.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
682.png,block,3.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
683.png,transverse,11.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
684.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
685.png,longitudinal,13.0,Join Issues
686.png,meandering,20.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
687.png,transverse,4.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
688.png,longitudinal,8.0,Join Issues
689.png,meandering,7.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
690.png,meandering,13.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
691.png,transverse,4.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
692.png,block,11.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
693.png,transverse,14.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
694.png,meandering,11.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
695.png,meandering,4.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
696.png,transverse,6.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
697.png,longitudinal,5.0,Join Issues
698.png,transverse,6.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
699.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
700.png,meandering,3.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
701.png,longitudinal,15.0,Join Issues
702.png,meandering,3.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
703.png,transverse,11.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
704.png,meandering,5.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
705.png,transverse,8.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
706.png,transverse,6.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
707.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
708.png,meandering,3.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
709.png,meandering,4.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
710.png,crocodile,6.0,"Wearing Course Issues, Moisture, Aged/Hardened Bitumen"
711.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
712.png,block,6.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
713.png,meandering,3.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
714.png,longitudinal,2.0,Join Issues
715.png,meandering,8.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
716.png,meandering,4.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
717.png,block,10.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
718.png,crescent,8.0,Wearing Course Issues
719.png,meandering,6.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
720.png,longitudinal,5.0,Join Issues
721.png,transverse,5.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
722.png,meandering,9.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
723.png,meandering,8.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
724.png,transverse,5.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
725.png,diagonal,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Tree Roots"
726.png,meandering,3.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
727.png,meandering,5.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
728.png,longitudinal,11.0,Join Issues
729.png,transverse,4.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
730.png,transverse,12.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
731.png,transverse,4.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
732.png,block,6.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
733.png,crocodile,8.0,"Wearing Course Issues, Moisture, Aged/Hardened Bitumen"
734.png,meandering,4.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
735.png,transverse,9.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
736.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
737.png,meandering,3.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
738.png,transverse,7.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
739.png,crocodile,3.0,"Wearing Course Issues, Moisture, Aged/Hardened Bitumen"
740.png,meandering,8.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
741.png,meandering,17.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
742.png,transverse,8.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
743.png,transverse,5.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
744.png,meandering,4.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
745.png,transverse,5.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
746.png,meandering,5.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
747.png,longitudinal,4.0,Join Issues
748.png,longitudinal,9.0,Join Issues
749.png,longitudinal,10.0,Join Issues
750.png,longitudinal,4.0,Join Issues
751.png,longitudinal,12.0,Join Issues
752.png,longitudinal,6.0,Join Issues
753.png,longitudinal,1.0,Join Issues
754.png,longitudinal,3.0,Join Issues
755.png,transverse,5.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
756.png,meandering,9.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
757.png,transverse,5.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
758.png,meandering,4.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
759.png,meandering,4.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
760.png,transverse,12.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
761.png,transverse,9.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
762.png,longitudinal,4.0,Join Issues
763.png,diagonal,4.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Tree Roots"
764.png,crescent,4.0,Wearing Course Issues
765.png,transverse,6.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
766.png,meandering,5.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
767.png,meandering,5.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
768.png,meandering,8.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
769.png,diagonal,7.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Tree Roots"
770.png,crocodile,3.0,"Wearing Course Issues, Moisture, Aged/Hardened Bitumen"
771.png,crescent,7.0,Wearing Course Issues
772.png,crescent,11.0,Wearing Course Issues
773.png,meandering,5.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
774.png,crescent,10.0,Wearing Course Issues
775.png,transverse,8.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
776.png,crocodile,4.0,"Wearing Course Issues, Moisture, Aged/Hardened Bitumen"
777.png,meandering,2.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
778.png,crocodile,4.0,"Wearing Course Issues, Moisture, Aged/Hardened Bitumen"
779.png,longitudinal,5.0,Join Issues
780.png,transverse,7.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
781.png,transverse,10.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
782.png,meandering,3.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
783.png,block,8.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
784.png,transverse,5.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
785.png,transverse,5.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
786.png,transverse,4.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
787.png,block,5.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
788.png,meandering,5.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
789.png,meandering,4.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
790.png,meandering,4.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
791.png,block,4.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
792.png,block,10.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
793.png,crescent,9.0,Wearing Course Issues
794.png,longitudinal,7.0,Join Issues
795.png,transverse,9.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
796.png,meandering,8.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
797.png,transverse,0.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
798.png,crescent,4.0,Wearing Course Issues
799.png,crescent,5.0,Wearing Course Issues
800.png,transverse,14.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
801.png,crescent,10.0,Wearing Course Issues
802.png,meandering,8.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
803.png,longitudinal,6.0,Join Issues
804.png,meandering,13.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
805.png,transverse,12.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
806.png,meandering,7.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
807.png,longitudinal,5.0,Join Issues
808.png,meandering,4.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
809.png,meandering,1.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
810.png,longitudinal,7.0,Join Issues
811.png,diagonal,5.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Tree Roots"
812.png,transverse,5.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
813.png,meandering,3.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
814.png,transverse,7.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
815.png,meandering,13.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
816.png,meandering,3.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
817.png,transverse,5.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
818.png,meandering,7.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
819.png,block,9.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
820.png,transverse,4.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
821.png,transverse,6.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
822.png,block,5.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
823.png,meandering,4.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
824.png,meandering,8.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
825.png,meandering,4.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
826.png,meandering,4.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
827.png,longitudinal,5.0,Join Issues
828.png,block,5.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
829.png,meandering,6.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
830.png,meandering,7.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
831.png,meandering,18.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
832.png,meandering,4.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
833.png,meandering,6.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
834.png,diagonal,9.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen, Tree Roots"
835.png,transverse,6.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
836.png,meandering,8.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
837.png,meandering,7.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
838.png,meandering,3.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
839.png,meandering,9.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
840.png,meandering,15.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
841.png,meandering,9.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
842.png,meandering,10.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
843.png,meandering,4.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
844.png,meandering,10.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
845.png,meandering,8.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
846.png,meandering,5.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
847.png,meandering,7.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
848.png,meandering,6.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
849.png,transverse,12.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
850.png,crocodile,9.0,"Wearing Course Issues, Moisture, Aged/Hardened Bitumen"
851.png,transverse,2.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
852.png,transverse,3.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
853.png,meandering,7.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
854.png,meandering,5.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
855.png,crescent,5.0,Wearing Course Issues
856.png,meandering,13.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
857.png,meandering,3.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
858.png,crescent,12.0,Wearing Course Issues
859.png,meandering,2.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
860.png,meandering,6.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
861.png,meandering,4.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
862.png,transverse,5.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
863.png,transverse,5.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
864.png,transverse,4.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
865.png,transverse,11.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
866.png,transverse,5.0,"Join Issues, Underlying Settlement, Inadequate Slab Thickness, Aged/Hardened Bitumen"
867.png,crescent,18.0,Wearing Course Issues
868.png,crescent,8.0,Wearing Course Issues
869.png,meandering,12.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
870.png,crescent,4.0,Wearing Course Issues
871.png,meandering,3.0,"Underlying Settlement, Inadequate Slab Thickness, Moisture, Tree Roots"
872.png,crescent,8.0,Wearing Course Issues
873.png,crocodile,5.0,"Wearing Course Issues, Moisture, Aged/Hardened Bitumen"
874.png,crocodile,5.0,"Wearing Course Issues, Moisture, Aged/Hardened Bitumen"
875.png,block,9.0,"Join Issues, Inadequate Slab Thickness, Aged/Hardened Bitumen"
